,Name,X,Y
0,Ha Noi,-15,252
1,Ho Chi Minh,26,-245
2,Hai Phong,29,238
3,Da Nang,93,9
4,Can Tho,-23,-279
5,Ha Giang,-58,333
6,Cao Bang,2,341
7,Lai Chau,-131,324
8,Lao Cai,-92,322
9,Tuyen Quang,-39,305
10,Dien Bien,-134,286
11,Lang Son,16,299
12,Bac Kan,-13,315
13,Thai Nguyen,-13,286
14,Yen Bai,-68,289
15,Son La,-104,267
16,Phu Tho,-47,271
17,Vinh Phuc,-23,269
18,Quang Ninh,52,263
19,Bac Giang,29,270
20,Bac Ninh,2,257
21,Thai Binh,15,227
22,Hai Duong,15,245
23,Hung Yen,-1,245
24,Hoa Binh,-35,239
25,Ha Nam,-5,230
26,Nam Dinh,8,215
27,Ninh Binh,-10,214
28,Thanh Hoa,-29,202
29,Nghe An,-55,168
30,Ha Tinh,-18,124
31,Quang Binh,12,83
32,Quang Tri,40,46
33,Thua Thien Hue,65,30
34,Quang Nam,89,-13
35,Quang Ngai,121,-40
36,Binh Dinh,134,-81
37,Phu Yen,138,-132
37,Khanh Hoa,138,-174
39,Ninh Thuan,131,-201
40,Binh Thuan,83,-233
41,Kon Tum,84,-55
42,Gia Lai,103,-100
43,Dak Lak,102,-150
44,Dak Nong,71,-179
45,Lam Dong,92,-204
46,Binh Phuoc,39,-202
47,Tay Ninh,1,-213
48,Binh Duong,28,-226
49,Dong Nai,49,-237
50,Ba Ria - Vung Tau,58,-259
51,Long An,10,-247
52,Tien Giang,6,-267
53,Ben Tre,17,-280
54,Tra Vinh,9,-294
55,Vinh Long,-4,-283
56,Dong Thap,-25,-253
57,An Giang,-42,-262
58,Kien Giang,-43,-295
59,Hau Giang,-21,-300
60,Soc Trang,-6,-308
61,Bac Lieu,-28,-320
62,Ca Mau,-53,-330
